Latin_orthography,Latin_IPA,freqTFTL,Spanish_IPA,,
nouem,nowem,,nwébe,,
secundum,sekundum,,segúndo,,
uicem,wikem,,béθ,,
parabola,parabola,,palábɾa,,
clāvem,klaːwem,,ʎábe,,
āla,aːla,,ála,,
coruum,korwum,,kwéɾbo,,
post,post,,pwés,,
pilum,pilum,,pélo,,
mare,mare,,máɾ,,
apertum,apertum,,abjéɾto,,
mēnsem,meːnsem,,més,,
formīca,formiːka,,hoɾmíga,,
minūtum,minuːtum,,menúdo,,
līma,liːma,,líma,,
pollicāris,pollikaːris,,pulgáɾ,,
monēta,moneːta,,monéda,,
focārem,fokaːrem,,ogáɾ,,
castellum,kastellum,,kastíʎo,,
gurdum,gurdum,,góɾdo,,
cāseum,kaːseum,,késo,,
aliquod,alikwod,,álgo,,
pūrum,puːrum,,púɾo,,
hodiē,hodieː,,ój,,
iuncta,iunkta,,xúnta,,
masculum,maskulum,,máʧo,,
tepida,tepida,,tíbja,,
sexta,sexta,,sjésta,,
tōtum,toːtum,,tódo,,
deus,deus,124656,djós,,
farīna,fariːna,,aɾína,,
nīdum,niːdum,,nído,*,
occo,okko,,wéko,,
cāna,kaːna,,kána,,
lancea,lankea,,lánθa,,
rīvum,riːwum,,ɾío,,
martis,martis,,máɾtes,,
aprīlem,apriːlem,,abɾíl,,
balbum,balbum,,bóbo,,
mīllem,miːllem,,míl,,
quid,kwid,,ké,,
arēna,areːna,,aɾéna,,
serra,serra,,sjéra,,
caementum,kajmentum,,θimjénto,,
dulcem,dulkem,,dúlθe,,
fundum,fundum,,fóndo,,
numquam,numkwam,,núnka,,
ruptum,ruptum,,ɾóto,,
bonum,bonum,,bwéno,,
coquīna,kokwiːna,,koθína,*,
nebula,nebula,,njébla,,
dēlictum,deːliktum,,delíto,,
lutum,lutum,,lódo,,
adherī,adheriː,,ajéɾ,,
māneāna,maːneaːna,,maɲána,,
peccātum,pekkaːtum,,pekádo,,
campum,kampum,,kámpo,,
hedera,hedera,,jédɾa,,
equa,ekwa,,jégwa,,
gypsum,gypsum,,jéso,,
pannum,pannum,,páɲo,,
ungula,ungula,,úɲa,,
ūberem,uːberem,,úbɾe,,
lucrārī,lukraːriː,,logɾáɾ,,
prīmārium,priːmaːrium,,pɾiméɾo,,
tertiārium,tertiaːrium,,teɾθéɾo,,
quartus,kwartus,,kwáɾto,,
novēnus,noweːnus,,nobéno,,
decimum,dekimum,,djéθmo,,
plumbum,plumbum,,plómo,,
curtum,kurtum,,kóɾto,,
cooperīre,kooperiːre,,kobɾíɾ,*,
circum,kirkum,,θéɾko,,
audīre,audiːre,,oíɾ,,
gallīna,galliːna,,gaʎína,,
sapidum,sapidum,,sábjo,,
sapōrem,sapoːrem,,sabóɾ,,
iocum,iokum,,xwégo,,
uacum,wakum,,bágo,,
adūnāre,aduːnaːre,,awnáɾ,,
melior,melior,,mexóɾ,,
dolōrem,doloːrem,,dolóɾ,,
tunica,tunika,,tónga,,
prehensus,prehensus,,pɾéso,,
fascem,faskem,,áθ,,
fortem,fortem,,fwéɾte,,
duodecim,duodekim,,dóθe,,
tredecim,tredekim,,tɾéθe,,
contra,kontra,,kóntɾa,*,
montem,montem,,mónte,*,
fagea,fagea,,ája,,
habeam,habeam,,ája,*,
mollem,mollem,,mwéʎe,,
quomodo,kwomodo,,kómo,,
paucus,pawkus,,pókos,*,
alterum,alterum,,ótɾo,,
bassum,bassum,,báxo,,
corticea,kortikea,,koɾteθa,,
uentrem,wentrem,,bjéntɾe,,
fīcātum,fiːkaːtum,,ígado,,
tenebrās,tenebraːs,,tinjéblas,,
acūtum,akuːtum,,agúdo,,
dextrum,dextrum,,djéstɾo,,
vīgintī,wiːgintiː,,béjnte,,
fungum,fungum,,óngo,,
sēmitam,seːmitam,,sénda,,
scholam,skʰolam,,eskwéla,,
rōbore,roːbore,,ɾóble,,
tēlam,teːlam,,téla,,
legendam,legendam,,lejénda,,
dēnārium,deːnaːrium,,dinéɾo,,
nāpum,naːpum,,nábo,,
stēllam,steːllam,,estɾeʎa,*,
ansam,ansam,,ása,,
factam,faktam,,féʧa,,
aequalitatem,ajkwalitatem,,igwaldád,,
sānctiōnem,saːnktioːnem,,sanθjón,,
tormentam,tormentam,,toɾménta,,
ecclēsiam,ekkleːsiam,,iglésja,,
uīcīnum,wiːkiːnum,,beθíno,,
assūmptum,assuːmptum,,asúnto,,
debitam,debitam,,déwda,,
